Time,Temp,Dew,SeaP,WD,WS,rain0,rain6,area
2020-01-01,9.32185960591133,4.3310447454844,1025.3854679802955,169.94673645320202,2.1162500000000004,0.0,0.051954022988505745,CS
2020-01-02,10.363823891625614,6.157220853858785,1024.9547311165845,169.03940886699513,1.8460632183908037,0.0,0.09969622331691295,CS
2020-01-03,10.03383620689655,6.604696223316913,1024.019427339901,177.6037561576355,1.8169704433497542,0.0,0.25320197044334974,CS
2020-01-04,9.801293103448279,7.471695402298851,1021.1363916256157,167.3020320197044,1.7960406403940892,0.0,0.7285878489326765,CS
2020-01-05,12.091133004926107,8.671387520525453,1017.9926416256156,173.8900862068965,2.4191954022988504,0.0,0.4630788177339901,CS
2020-01-06,12.604033251231526,8.05957512315271,1016.5581280788176,195.51077586206895,2.8580028735632186,0.0,2.4458292282430216,CS
2020-01-07,10.380049261083744,4.842980295566503,1021.1629926108378,178.98552955665025,2.589743431855501,0.0,1.2779885057471265,CS
2020-01-08,9.31477832512315,3.5181834975369446,1020.1865455665024,154.73676108374383,2.5465209359605914,0.0,0.2567344006568144,CS
2020-01-09,8.584020935960591,3.768996305418---7188,1018.5967980295566,156.38331280788174,2.4209298029556656,0.0,0.7616133004926107,CS
2020-01-10,7.2692733990147795,3.5865332512315273,1019.1944273399018,189.4356527093596,2.260043103448276,0.0,1.4530480295566501,CS
2020-01-11,6.056551724137931,2.348251231527093,1022.8555500821019,184.81814449917897,1.9420525451559931,0.0,1.1562356321839078,CS
2020-01-12,6.861761083743846,1.0417385057471265,1020.2651272577996,172.1422413793104,1.8008620689655175,0.0,0.003448275862068966,CS
2020-01-13,7.987686781609195,2.2627750410509035,1019.6047701149425,148.1797208538588,1.9765353037766833,0.0,0.08252873563218391,CS
2020-01-14,7.148737684729068,2.8496100164203613,1020.5868226600988,140.43830049261086,2.149246715927751,0.0,0.7751908866995075,CS
2020-01-15,6.652339901477837,3.1299363711001638,1019.9458025451563,150.8448275862069,2.3333128078817738,0.0,1.6128981937602622,CS
2020-01-16,5.651600985221674,1.9883825944170772,1024.340938013136,166.4567939244663,2.00055829228243,0.0,0.6172352216748769,CS
2020-01-17,5.820566502463054,1.1143165024630544,1023.9290537766828,158.10714285714286,1.8426703612479471,0.0,0.11271346469622333,CS
